说话人 模板	101.26600781905995
通道	79.11289271242623
说话人	78.66490575623784
音频 信号	63.385258547503476
语音 特征 参数	59.36632296901555
语音 特征	56.537567740940176
语音 特征 参数 时间 序列	54.468897994938374
语音 特征 参数 时间	49.66221016059137
编码 参数	44.57688610499069
音频	42.97863736212075
特征 参数 时间 序列	34.89322982425678
特征 参数	34.48263580312231
倒谱 系数	34.05737011744601
声学 特征	32.35208103709506
参数	32.23202000224202
特征 参数 时间	30.708726347439985
倒谱 系数 时间 序列	30.52739907488368
dtw	29.154513617900406
等级 参数	28.488678077491844
指纹	28.42543657036101
平衡 参数	27.192009378620135
倒谱 系数 时间	26.893860553448622
指纹 信号	26.758727418705007
编码	26.54750060969142
压缩 方法	25.55362468135766
音乐	24.01897274321105
上述 说话人 模板	23.001529128205792
声学	22.557535997116872
倒谱	21.86374033241063
背景 模板	21.513602488494765
距离	20.406829264767207
上述 说话人	19.45102072307439
码字	19.265658147210768
说话人 识别	18.474928776778555
声音 数据	18.408938871190703
ic	18.403582045911484
验证	17.956351045135328
音量 时间 变化规	17.719012056557318
语音 识别	17.63289566693531
语音 字典	17.514705500181634
说话人 识别 装置	17.126801905723415
音量 时间	17.066277704721706
特征 信息	17.066277704721706
能量 值	16.64403493945491
频带	16.552522777734943
前面 实施例	16.511594040526337
等级	15.55755127023977
语音 特征 参数组	15.34276500963954
重构	15.288109344419063
实施 方式	14.897015018927453
数量	14.82477086118436
原始 通道	14.809903178443376
注册 密码 语音	14.651841237243529
验证 装置	14.355554060810451
实施例	13.941899870025473
中央 通道	13.900093577900607
能量值	13.869873446738907
压缩	13.634444721853267
注册	13.577277416957642
音量	13.557759421399828
参数集	13.168365135378938
平衡	13.132116915573032
模板	13.108876988501962
多 通道	13.00685696460826
前面	12.964648844070778
语音 信号	12.859316898880152
频谱 分量	12.52659873441647
验证 方法	12.52659873441647
压缩 装置	12.52659873441647
总和	12.279748525395696
能量	12.137234275274707
初始值	12.124846078850654
估计值	12.117430108787755
比特 数量	12.0662286794745
注册 密码	12.0662286794745
频率 转换器	12.02920988594662
背面	12.001778646562219
最佳 匹配 序列	11.793112811500277
多 通道 信号	11.730678219000698
文本	11.654141506199263
掩蔽 曲线	11.604494518208638
电源 vcc	11.524486569450191
音乐 数据库	11.524486569450191
参数化	11.411686871952018
最佳 值	11.362882454006986
频谱	10.677597489951605
增强 系统	10.676667346416336
通道 重构	10.676667346416336
压缩 信号	10.676667346416336
背景	10.654644829828586
编码 音频 信号	10.637877970676525
信息 处理 装置	10.637877970676525
标准 语音 模块	10.637877970676525
语音 驱动器	10.510213057098493
